transaction_id,date,product,category,quantity,unit_price,region,discount
T056,2024-02-20,SSD 1TB,Electronics,6,695.83,North,0.0
T065,2024-08-06,Jump Rope,Sports,6,745.18,West,0.0
T094,2024-02-18,Pasta 500g,Food,11,667.11,East,0.34
T038,2024-06-16,Deep Learning Intro,Books,7,137.36,Central,0.18
T090,2024-07-15,AI Ethics,Books,8,152.68,North,0.43
T087,2024-05-17,Yoga Mat,Sports,6,473.67,West,0.09
T074,2024-07-02,Swimming Goggles,Sports,10,27.8,West,0.0
T004,2024-07-18,Pasta 500g,Food,6,841.45,South,0.27
T013,2024-12-17,Granola 300g,Food,12,66.18,East,0.0
T050,2024-10-22,Formal Shirt,Clothing,2,710.52,North,0.4
T081,2024-04-18,Dark Chocolate Bar,Food,6,244.42,Central,0.0
T057,2024-06-01,Dumbbell Set 5kg,Sports,10,571.21,North,0.37
T017,2024-11-22,Clean Code,Books,1,576.61,West,0.0
T076,2024-04-20,Cotton Socks 3-Pack,Clothing,5,789.9,Central,0.0
T015,2024-10-15,Silk Scarf,Clothing,9,768.29,South,0.48
T029,2024-11-10,Phone Charger,Electronics,10,461.28,North,0.0
T003,2024-02-17,Mixed Nuts 500g,Food,13,693.63,East,0.18
T028,2024-11-24,Yoga Mat,Sports,2,788.06,South,0.39
T096,2024-06-22,SSD 1TB,Electronics,3,145.9,South,0.36
T086,2024-07-13,Wool Sweater,Clothing,19,305.13,Central,0.15
T040,2024-06-29,Noise-Cancelling Headphones,Electronics,17,217.45,West,0.0
T079,2024-07-27,Organic Coffee 250g,Food,12,221.96,West,0.43
T023,2024-02-26,USB-C Hub,Electronics,1,362.08,South,0.01
T069,2024-03-04,Linear Algebra Refresher,Books,9,587.04,East,0.0
T080,2024-10-14,Instant Noodles 5-Pack,Food,8,649.76,West,0.15
T045,2024-10-27,Pasta 500g,Food,9,460.08,East,0.0
T012,2024-06-10,Olive Oil 1L,Food,4,970.35,West,0.41
T091,2024-03-19,Deep Learning Intro,Books,17,965.67,East,0.46
T073,2024-12-17,Noise-Cancelling Headphones,Electronics,16,833.83,East,0.12
T071,2024-09-28,Pasta 500g,Food,18,334.8,West,0.0
T045,2024-10-27,Pasta 500g,Food,9,460.08,East,0.0
